,Review,Movie,image,lables,Status
0,Well written and performed also technically shines cinematography & bgm are too good and there's not even a single lag it's perfectly edited. Probably the best experience in recent times. Its pure art resembles the modern society the emotions they had shelved are insanely exceptional a layered masterpiece. If you like dark thrillers then you shouldn't miss Mr. Bong joon-ho's Parasite. Definitely tops the list of best movies in 2019,Parasite,Movie_images\parasite.jpeg,1,Must Watch
1,"I saw this last night at the opening of the Mill Valley film Festival. Arrival is unlike any movie I've ever seen. It's about love, loss, tolerance, language and non-linear time, wrapped in a science fiction story about our first encounter with extraterrestrials.Under director Denis Villeneuve's masterful direction, Arrival takes its time to unfold, but it gradually gets under your skin and commands your attention. The last half hour was one of the most emotional experiences I've had at the movies in a long time. There aren't many movies these days that I would call required viewing, but this is one of them. And Amy Adams is Oscar-worthy in the lead role. In fact, Arrival could also win Oscars for original score, sound, direction and Best Picture.",Arrival,Movie_images\arrival.jpg,1,Must Watch
2,"This is an excellent film. The CGI is great. The characters are great. But I have one problem which is the character development. It didn't have much of it, but that is the only problem. The movie did start of really confusing, but in the 40 minute part I got used to the story. In conclusion this is a great film and I would highly recommend it.",Inception,Movie_images\Inception.jpg,1,Must Watch
3,"Confidently directed, dark, brooding, and packed with impressive action sequences and a complex story, The Dark Knight includes a career-defining turn from Heath Ledger as well as other Oscar worthy performances, TDK remains not only the best Batman movie, but comic book movie ever created.",The Dark Knight,Movie_images\the_dark_knight.jpg,0,Average
4,"Marvelous film. Captivating plot filled with mountains of emotions. Brie Larson's performance in this film was breathtaking. Her emotions, facial expressions and tones were perfectly done, which is one of the main reasons why this was such an incredible film. Jacob Tremblay's performance was also amazing",Room,Movie_images\room.jpg,1,Must Watch
5,"This is cinematic patience, a bare and beautifully drawn out experience that paces and feels exactly like the lives and experiences it portrays. The landscapes are stunning, the camerawork intimate and always thoughtful with its choices. The movie makes subtle, deliberate gestures, and it all culminates into something really special. Movies so plot-thin always must walk the careful border of disinterest - but honestly I could've watched another hour of this stuff and never get bored. It's hypnotizing in its own unique way, and I haven't really seen anything quite like it. (This is the vibe I wish Sean Penn's Into the Wild could've captured).",Nomadland,Movie_images\nomadland.jpg,1,Must Watch
6,"This is a wolverine movie aimed at adults and definitely not for small children. The story is set in the future and Logan is taking care of Charles Xavier who has grown old and is incapable of taking care of himself. Logan, himself is now older and his health is slowly deteriorating as well. A young girl mutant enters their lives which sets off a story, which is not about super heroes fighting bad guys, but one that is on a more human level. ""Logan"", is a beautifully made X-Men film that deals with themes of importance of family, loyalty, and ultimately how Logan himself deals with new found emotions which he is experiencing for the very first time in his life. This is the crowning achievement in Hugh Jackman's role as Wolverine. It is the movie he and director, James Mangold had always wanted to make. It is a dramatic work of art and for X-Men fans, has plenty of action and special FX which are a definite cut above anything that has been seen before in Wolverine/X-Men films.",Logan,Movie_images\logan.jpg,1,Must Watch
7,"I got a chance to see 'Batman Begins' just this past Friday evening. I must say that before seeing the film, I felt in my heart this is the 'Batman' film we've been waiting for. Within ten minutes into the movie, I turned to my date and said to her, ""This is it! This is the movie!"" I just can't believe that after all these years, Warner Bros. finally got it right. For me the most intriguing part of the film, apart from the great script, and great acting, was Christopher Nolan's decision to base the film in reality. Deciding that Batman could really exist in our universe and our world was a stroke of genius. Another aspect of the film that's so refreshing is that instead of the focus being on the villain, Batman is the film's star. And rightly so. It's amazing what can happen when a studio leaves a respected director, and the creative team alone, and allow them to make the best movie possible. The only two negatives that I can think of is Katie Holmes and the fight sequences. Holmes does indeed look like a teenager playing grown-up. Her performance isn't bad per SE, it's just that you really don't buy her as an Assistant D.A. As for the fight sequences, I felt the cameras angles were too tight on the action, edited too quickly, and lit too dark so that you really couldn't tell what was going on and determine who was hitting who. Maybe we can attribute this to the fact that Nolan is not an action director. Hopefully the next film will open up the fight sequences so we can actually see Batman use the martial arts skills he developed during his exile. But apart from those relatively minor quibbles, the film is excellent, and I'm definitely going back on opening day June 15th, and seeing it a second time. A third and fourth viewing is definitely not out of the question.",Batman Begin,Movie_images\batman_begins.png,1,Must Watch
8,"To communicate or not to communicate. Sometimes is just out of fear that we don't come close to the ones who can give us exactly what we need. They're different, let's stay away. Sally Hawkins in a magical but beautifully real performance invites us to try, to dare. Guillermo del Toro takes us through the paces with extraordinary delicacy and clarity of vision. Thank you.",The Shape of Water,Movie_images\the_shape_of_water.jpeg,1,Must Watch
9,"Few movies will leave a lasting impression on you..Life of Pi is one of those. Not even a single moment is dull, in fact the story is woven so tightly that you never realize that the script is so simple. It is beautifully directed and kudos to Ang Lee, not only was he able to capture the beauty of India, he was also able to get the best of the actors. Though it does not rank too high on 3D, its just visually mesmerizing. My trust and faith in Ang Lee has gone up to the highest level after watching this movie..Luckily I was able to catch the premiere show and will continue to relish the after effects of the movie for the next few days!",Life of Pi,Movie_images\lifeofpi.jpg,0,Average
10,"Once again, Director Ridley Scott proves to be as professional as one can be. The recreation of ancient Rome is splendid, with all its magnificent buildings and atmosphere and he is able to show with all brightness the greatness of the Roman Empire, with its political problems and military discipline, and love and treason, of hate and jealousy, that still have a place in our world today. But the story has a glow of its own, to which all the beautiful scenery (believe me, it's awesome!!!) and great cinematography are just balancing factors. The plot is a rich one, that is as dynamic as it is present. He once again, after Blade Runner, 1492, and others helps us visit the depths of the human soul, which remains the same over all our historical and social experience. Even the fights, are displayed in such a way that all the blood is quite discrete, but still, making us feel like screaming and jumping out of our seats. I would also like to point out the performances of the cast, that is surprisingly good. We have some actors and actresses, who are not Hollywood icons, but are are greatly able to move the audience among screams and tears. All in all, we have guys like Russel Crowe, who are coming out to be part of a new and extremely promising harvest of people who are making each time more fans around the world. Well, you should see for yourself!",Gladiator,Movie_images\gladiator.png,1,Must Watch
11,"To this day, this is still my favorite pixar film. The animation is stellar, its heartwarming, funny and proves that pixar movies are always bound to be great (except for cars 2 but thats a different story). This has a shot at the title ""best movie of the century""",Wall-E,Movie_images\wall_e.jpg,1,Must Watch
12,"I watched the movie long time ago, and I've just rewatched it today. For kids it will be a funny movie with no meaning maybe!! But for an adult, its so true!! You lose your childhood personality you change you feel sad, i mean it literally touches my soul Great movie for both kids and adults.",Inside Out,Movie_images\Inside_out.png,1,Must Watch
13,"After being out of the public eye since Titanic(1997), his comeback film Avatar proves to serve him right.Way forward in the future a crippled marine(Sam Worthington), becomes apart of an experiment, When he is hooked up to machine, it can put his mind and soul in the body of a 8 foot tall blue alien, and has to go undercover on there planet, to get some of there resources, but things change when he falls in love with one of the alien warriors(Zoe Saldana).This film is quite a masterpiece, it's mind blowing in any effects and storytelling ever. Sam Worthington who stole last years Terminator Salvation from a cranky Christian Bale, really does well here. So does Zoe Saldana and Sigourney Weaver. A great comeback for James Cameron.",Avatar,Movie_images\avatar.png,1,Must Watch
14,"Seeing that the movie was over 2 hrs long, and knowing that the person was going to be stuck on the planet by their self for the majority, I didn't have high hopes for it. Usually these types of movies are boring. Not a lot of writers can pull this off. This movie was really good tho. A group of us watched it and really enjoyed. There were some things they failed to explain, that we collectively came up with our own answer for. Other than that, it was great. I never felt bored or left waiting for more. Overall, I feel it was very well written, produced and acted. Well worth the watching. Some people on here have griped that it was 'predictable', but then, most movies are. Who ever watched Star Wars with the thought that Vader would ultimately win??? Who ever watched Star Trek thinking that Kirk wouldn't find a way to save the day? And frankly, who grew up watching Scooby Doo thinking that someone would actually kill Scooby, Shaggy, Fred, Daphne or Velma???",The Martian,Movie_images\The_Martian.jpg,0,Average
15,After watching this insane movie in the theatres back in 2014 I swore to god I will wait 5 years to watch it again so I get to forget it and experince the insanity it has again This without doubt is THE BEST MOVIE EVER MADE,Interstellar,Movie_images\interstellar.jpg,0,Average
16,"Before Logan, this was my favorite non-MCU marvel movie. The humor lands every single time thanks to Ryan Reynolds' charismatic and hysterical performance. The action was really well-helmed, which i think benefits from the fact that none of it is censored (disney if u make DP3 don't censor it). It also does a great job fleshing out Wade Wilson's character, instead of making him a service-level comedian; they showed us his prior life and love life, and it was executed very well. Overall, this is a badass and hilarious x-men film, and a really damn good time.",Deadpool,Movie_images\deadpool.png,1,Must Watch
17,"Brilliant film from start to finish, the first of its kind putting many main characters into one film and it was perfectly balanced and the action was incredible. Great addition to the story and really well done.",The Avenger,Movie_images\the_avenger.png,1,Must Watch
18,"Finally saw this movie (yes 4 years late) and I understand why Leonardo won the Oscar, along with the many academy awards the movie and director won. It is a cinematic masterpiece. The cinematography is amazing, the whole cast (Tom Hardy is great here) is great. The costumes and weapons used (early 1800s) look so damn good. The story is very simple and not complicated. It is about revenge and surviving in the cold and icy wilderness of 1823. The action scenes are brutal and gritty, like they should be for that time period. Officially in my top 10 movies of all time. If you've never seen this film, do yourself a favor and rent it or buy it. It definitely deserves to be in your collection. Some people might not like all the spiritual stuff or reading subtitles (lots of Native American language here) but it is needed since there a lot of interaction with Native American tribes here. FINAL REVIEW 10/10",The Revenant,Movie_images\the_revenant.jpg,1,Must Watch
19,"The movie Leonardo DiCaprio should have gotten an Oscar for. His portrayal of the character is perfect. The movie is well-written, leaving no details out of the original story. Martin Scorsese never fails to impress. One of the only example where the movie is better than the book. The movie never gets boring, I could watch this anytime.",The Wolf of Wall Street,Movie_images\the_wolf_of_wall_street.jpg,1,Must Watch
